system:index,CII,RFI,aspect,chirps_30d,chirps_7d,compound_risk,dist_water,elevation,event_id,flood,flood_driver,freeboard_fes,imerg_24h,imerg_3d,imerg_peak_intensity,lt0,lt1,lt3,onshore_wind,rain_intensity_ratio,season_wet,slope,soil_moisture,solar_rad,split,spring_flag_fes,surface_pressure,tide_anomaly,tide_max_fes,tide_range_fes,u_wind_10m,v_wind_10m,wind_dir,wind_speed,.geo
3_351,0.11037735849056605,0.5785138175905591,148.8931121826172,151.13282895088196,0.0,0.10359381139278412,0.0,8,jul2020,1.0,1,-7.353,27.19999885559082,57.31599807739258,7.149999618530273,0,0,0,-0.22125821177959448,0.04699840046252438,0.0,5.400242328643799,0.3383156657218933,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_352,0.11037735849056605,0.6906200489976018,225.1598663330078,169.99789214134216,0.0,0.15745529532432556,0.0,22,jul2020,1.0,1,-21.353,33.310001373291016,58.0464973449707,13.34999942779541,0,0,0,-0.14885331780910493,0.07807113444860868,0.0,1.3151146173477173,0.395781010389328,88.07394409179688,train,0,101046.6171875,-0.10299999999999998,0.647,1.429,2.813105821609497,2.602593421936035,42.77398960165117,3.832369617283537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_356,0.11037735849056605,0.5760106572840942,333.305419921875,151.13282895088196,0.0,0.10246137529611588,0.0,21,jul2020,1.0,1,-20.353,27.19999885559082,57.31599807739258,7.149999618530273,0,0,0,-0.22125821177959448,0.04699840046252438,0.0,2.0753769874572754,0.3357105255126953,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_374,0.11037735849056605,0.6625549836040769,256.0389099121094,150.57133746147156,0.0,0.15745529532432556,0.0,12,jul2020,1.0,1,-11.353,33.310001373291016,58.0464973449707,13.34999942779541,0,0,0,-0.22125821177959448,0.08807733474799542,0.0,3.8385610580444336,0.395781010389328,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_379,0.4947776151795456,0.5002756491452661,288.3412780761719,143.5501126050949,5.174736976623535,0.057439036667346954,0.0,2,jul2020,1.0,1,-1.353,35.1349983215332,45.274497985839844,9.579999923706055,0,0,1,-0.22125821177959448,0.06627459329539388,0.0,2.944845676422119,0.20229510962963104,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_385,0.3522825765302402,0.46827713104054147,303.5435485839844,155.61423563957214,0.0,0.047327738255262375,0.0,4,jul2020,1.0,1,-3.3529999999999998,28.94999885559082,55.195499420166016,10.019999504089355,0,0,0,-0.22125821177959448,0.06397885519901982,0.0,3.3531699180603027,0.20229510962963104,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_389,0.11037735849056605,0.6240274079346211,326.16094970703125,150.57133746147156,0.0,0.12547752261161804,0.0,24,jul2020,1.0,1,-23.353,33.310001373291016,58.0464973449707,13.34999942779541,0,0,0,-0.14885331780910493,0.08807733474799542,0.0,3.346125364303589,0.3357105255126953,88.07394409179688,train,0,101046.6171875,-0.10299999999999998,0.647,1.429,2.813105821609497,2.602593421936035,42.77398960165117,3.832369617283537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_393,0.11037735849056605,0.4596991708141147,251.66030883789062,149.67659711837769,8.128929138183594,0.047327738255262375,0.0,9,jul2020,1.0,1,-8.353,28.94999885559082,55.195499420166016,10.019999504089355,0,0,0,-0.22125821177959448,0.06650003846461461,0.0,2.945094347000122,0.20229510962963104,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_399,0.11037735849056605,0.5002756491452661,341.47113037109375,143.5501126050949,5.174736976623535,0.057439036667346954,0.0,8,jul2020,1.0,1,-7.353,35.1349983215332,45.274497985839844,9.579999923706055,0,0,0,-0.22125821177959448,0.06627459329539388,0.0,2.9320292472839355,0.20229510962963104,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_401,0.11037735849056605,0.4534109266270205,90.0,141.57137835025787,0.0,0.04993807151913643,0.0,19,jul2020,1.0,1,-18.353,28.94999885559082,55.195499420166016,10.019999504089355,0,0,0,-0.22125821177959448,0.07028058240043825,0.0,0.9326831698417664,0.20793713629245758,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
